Gender,Surface,Winner,Loser,WRank,LRank,WPts,LPts
Male,Hard,Sijsling I.,Kohlschreiber P.,64,27,740,1330
Male,Hard,Berdych T.,Gulbis E.,7,24,4540,1443
Male,Hard,Cilic M.,Sijsling I.,37,64,1085,740
Male,Hard,Berdych T.,Cilic M.,7,37,4540,1085
Male,Hard,Mannarino A.,Sock J.,70,82,714,652
Male,Hard,Lopez F.,Querrey S.,27,57,1355,800
Male,Hard,Anderson K.,Smyczek T.,21,105,1580,537
Male,Hard,Baghdatis M.,Vesely J.,155,77,345,669
Male,Hard,Sela D.,Bogomolov A.,75,88,683,618
Male,Hard,Gabashvili T.,Ebden M.,65,62,731,741
